"MUN_NOME","SER_NOME","total_alunos"
"Serra","2º Ano EF",7181
"Serra","3º Ano EF",6969
"Serra","1º Ano EF",6580
"Serra","4º Ano EF",6403
"Serra","5º Ano EF",6021
"Vila Velha","4º Ano EF",4666
"Vila Velha","5º Ano EF",4628
"Cariacica","2º Ano EF",4515
"Vila Velha","2º Ano EF",4488
"Cariacica","3º Ano EF",4487
"Vila Velha","3º Ano EF",4479
"Vila Velha","8º Ano EF",4338
"Vila Velha","6º Ano EF",4311
"Vila Velha","7º Ano EF",4292
"Cariacica","6º Ano EF",4066
"Vila Velha","1º Ano EF",3927
"Vila Velha","9º Ano EF",3677
"Vitória","4º Ano EF",3062
"Cariacica","4º Ano EF",3019
"Vitória","5º Ano EF",2994
"Vitória","6º Ano EF",2985
"Vitória","3º Ano EF",2963
"Vitória","2º Ano EF",2918
"Vitória","7º Ano EF",2799
"Cariacica","1º Ano EF",2798
"Vitória","1º Ano EF",2781
"Vitória","8º Ano EF",2728
"Cariacica","9º Ano EF",2670
"Cariacica","5º Ano EF",2623
"Linhares","4º Ano EF",2415
"Linhares","5º Ano EF",2360
"Linhares","3º Ano EF",2312
"Vitória","9º Ano EF",2271
"Cariacica","7º Ano EF",2212
"Linhares","2º Ano EF",2157
"Cachoeiro de Itapemirim","4º Ano EF",2154
"Linhares","6º Ano EF",2148
"Cachoeiro de Itapemirim","5º Ano EF",2139
"Cachoeiro de Itapemirim","3º Ano EF",2078
"Cariacica","8º Ano EF",2062
"Cachoeiro de Itapemirim","2º Ano EF",2008
"Guarapari","5º Ano EF",1784
"Linhares","7º Ano EF",1782
"São Mateus","3º Ano EF",1729
"Guarapari","4º Ano EF",1700
"São Mateus","2º Ano EF",1649
"São Mateus","4º Ano EF",1624
"Guarapari","2º Ano EF",1606
"Cachoeiro de Itapemirim","6º Ano EF",1605
"Guarapari","7º Ano EF",1577
"Linhares","8º Ano EF",1571
"Guarapari","6º Ano EF",1520
"Guarapari","8º Ano EF",1516
"Guarapari","3º Ano EF",1501
"Cachoeiro de Itapemirim","7º Ano EF",1449
"São Mateus","5º Ano EF",1443
"Aracruz","3º Ano EF",1362
"Aracruz","4º Ano EF",1359
"Aracruz","5º Ano EF",1356
"Aracruz","2º Ano EF",1336
"Guarapari","9º Ano EF",1319
"Cachoeiro de Itapemirim","8º Ano EF",1283
"Colatina","2º Ano EF",1279
"Linhares","1º Ano EF",1251
"Linhares","9º Ano EF",1247
"Colatina","6º Ano EF",1215
"Colatina","3º Ano EF",1205
"Cachoeiro de Itapemirim","1º Ano EF",1184
"Aracruz","1º Ano EF",1177
"Colatina","1º Ano EF",1124
"Colatina","4º Ano EF",1101
"Cachoeiro de Itapemirim","9º Ano EF",1050
"Viana","2º Ano EF",1034
"Colatina","5º Ano EF",1003
"Aracruz","7º Ano EF",986
"Aracruz","6º Ano EF",973
"São Mateus","1º Ano EF",936
"Aracruz","8º Ano EF",914
"Colatina","7º Ano EF",897
"Colatina","8º Ano EF",883
"São Mateus","6º Ano EF",881
"São Mateus","7º Ano EF",859
"Aracruz","9º Ano EF",854
"Colatina","9º Ano EF",832
"São Mateus","8º Ano EF",772
"Marataízes","4º Ano EF",730
"Marataízes","5º Ano EF",724
"Marataízes","6º Ano EF",693
"Itapemirim","4º Ano EF",688
"Itapemirim","5º Ano EF",675
"Nova Venécia","2º Ano EF",666
"Marataízes","3º Ano EF",665
"Itapemirim","3º Ano EF",659
"Viana","9º Ano EF",656
"Itapemirim","2º Ano EF",653
"Santa Maria de Jetibá","2º Ano EF",646
"Nova Venécia","3º Ano EF",637
"Nova Venécia","4º Ano EF",631
"Marataízes","2º Ano EF",612
"São Mateus","9º Ano EF",611
"Santa Maria de Jetibá","3º Ano EF",610
"Nova Venécia","5º Ano EF",602
"Itapemirim","6º Ano EF",600
"Viana","5º Ano EF",587
"Marataízes","7º Ano EF",583
"Barra de São Francisco","4º Ano EF",560
"Marataízes","8º Ano EF",555
"Nova Venécia","7º Ano EF",554
"Jaguaré","5º Ano EF",551
"Itapemirim","7º Ano EF",544
"Barra de São Francisco","3º Ano EF",523
"Barra de São Francisco","5º Ano EF",517
"Nova Venécia","9º Ano EF",516
"Nova Venécia","8º Ano EF",513
"Jaguaré","3º Ano EF",512
"Viana","1º Ano EF",506
"Barra de São Francisco","2º Ano EF",495
"Jaguaré","4º Ano EF",495
"Nova Venécia","6º Ano EF",494
"Jaguaré","1º Ano EF",486
"Sooretama","2º Ano EF",480
"Sooretama","7º Ano EF",477
"Marataízes","1º Ano EF",477
"Sooretama","6º Ano EF",475
"Sooretama","5º Ano EF",475
"Viana","8º Ano EF",473
"Domingos Martins","3º Ano EF",471
"Jaguaré","2º Ano EF",465
"Sooretama","4º Ano EF",464
"Nova Venécia","1º Ano EF",463
"Domingos Martins","2º Ano EF",460
"Anchieta","5º Ano EF",459
"Sooretama","3º Ano EF",458
"Anchieta","4º Ano EF",453
"Conceição da Barra","3º Ano EF",453
"Conceição da Barra","6º Ano EF",449
"Santa Maria de Jetibá","1º Ano EF",441
"Itapemirim","8º Ano EF",439
"Conceição da Barra","7º Ano EF",437
"Conceição da Barra","2º Ano EF",437
"Castelo","4º Ano EF",434
"São Gabriel da Palha","2º Ano EF",432
"Conceição da Barra","5º Ano EF",432
"Conceição da Barra","4º Ano EF",431
"Anchieta","3º Ano EF",430
"Domingos Martins","6º Ano EF",429
"Conceição da Barra","8º Ano EF",428
"Itapemirim","1º Ano EF",426
"Iúna","3º Ano EF",425
"Barra de São Francisco","1º Ano EF",422
"Castelo","7º Ano EF",410
"Guarapari","1º Ano EF",409
"Castelo","5º Ano EF",404
"Castelo","1º Ano EF",404
"Piúma","4º Ano EF",404
"Castelo","6º Ano EF",400
"São Gabriel da Palha","1º Ano EF",399
"Iúna","2º Ano EF",395
"São Gabriel da Palha","4º Ano EF",392
"Iúna","1º Ano EF",391
"Ibatiba","2º Ano EF",390
"São Gabriel da Palha","5º Ano EF",390
"Domingos Martins","9º Ano EF",389
"Anchieta","6º Ano EF",389
"Ibatiba","5º Ano EF",388
"Piúma","5º Ano EF",388
"Conceição da Barra","1º Ano EF",388
"São Gabriel da Palha","3º Ano EF",387
"Anchieta","2º Ano EF",386
"Iúna","4º Ano EF",386
"Ibatiba","3º Ano EF",385
"Marataízes","9º Ano EF",385
"Castelo","3º Ano EF",384
"Piúma","6º Ano EF",380
"Afonso Cláudio","2º Ano EF",379
"Itapemirim","9º Ano EF",379
"Pinheiros","2º Ano EF",377
"Baixo Guandu","5º Ano EF",377
"Castelo","2º Ano EF",373
"Castelo","8º Ano EF",370
"Piúma","3º Ano EF",366
"Guaçuí","4º Ano EF",361
"Sooretama","8º Ano EF",359
"Guaçuí","3º Ano EF",357
"Pedro Canário","4º Ano EF",357
"Ibatiba","4º Ano EF",357
"Guaçuí","5º Ano EF",354
"Conceição da Barra","9º Ano EF",354
"Piúma","7º Ano EF",353
"Pedro Canário","1º Ano EF",353
"Pedro Canário","3º Ano EF",349
"Piúma","2º Ano EF",348
"Baixo Guandu","4º Ano EF",346
"Pedro Canário","2º Ano EF",343
"Pedro Canário","5º Ano EF",339
"Afonso Cláudio","3º Ano EF",337
"Baixo Guandu","2º Ano EF",335
"Rio Bananal","6º Ano EF",332
"Alegre","2º Ano EF",331
"Baixo Guandu","3º Ano EF",330
"Guaçuí","2º Ano EF",327
"Santa Maria de Jetibá","4º Ano EF",322
"Pinheiros","5º Ano EF",321
"Rio Bananal","3º Ano EF",321
"Domingos Martins","1º Ano EF",320
"Venda Nova do Imigrante","5º Ano EF",319
"Jaguaré","7º Ano EF",319
"Sooretama","9º Ano EF",319
"Iúna","5º Ano EF",318
"Guaçuí","8º Ano EF",317
"Afonso Cláudio","5º Ano EF",316
"Pinheiros","4º Ano EF",314
"Piúma","8º Ano EF",312
"Domingos Martins","5º Ano EF",311
"Pinheiros","3º Ano EF",307
"Castelo","9º Ano EF",306
"Rio Bananal","5º Ano EF",305
"Rio Bananal","7º Ano EF",304
"Guaçuí","6º Ano EF",301
"Jaguaré","6º Ano EF",301
"Santa Maria de Jetibá","5º Ano EF",301
"Jaguaré","8º Ano EF",299
"Pinheiros","7º Ano EF",298
"Guaçuí","1º Ano EF",297
"Santa Teresa","1º Ano EF",297
"Rio Bananal","4º Ano EF",295
"Venda Nova do Imigrante","2º Ano EF",295
"Afonso Cláudio","4º Ano EF",294
"Baixo Guandu","1º Ano EF",292
"São Gabriel da Palha","6º Ano EF",291
"Baixo Guandu","6º Ano EF",288
"Muniz Freire","2º Ano EF",287
"Pinheiros","8º Ano EF",284
"Venda Nova do Imigrante","4º Ano EF",283
"Rio Bananal","2º Ano EF",282
"Rio Bananal","1º Ano EF",277
"Santa Teresa","2º Ano EF",277
"Venda Nova do Imigrante","3º Ano EF",277
"Vargem Alta","2º Ano EF",276
"Montanha","5º Ano EF",276
"Venda Nova do Imigrante","1º Ano EF",276
"Pinheiros","6º Ano EF",275
"Marechal Floriano","4º Ano EF",273
"Muniz Freire","1º Ano EF",273
"Marechal Floriano","2º Ano EF",272
"Fundão","5º Ano EF",267
"Guaçuí","7º Ano EF",267
"Montanha","2º Ano EF",266
"Alegre","3º Ano EF",265
"Mimoso do Sul","2º Ano EF",264
"Santa Teresa","3º Ano EF",263
"Santa Teresa","5º Ano EF",263
"Rio Bananal","8º Ano EF",263
"Ecoporanga","2º Ano EF",262
"Piúma","1º Ano EF",262
"Vargem Alta","5º Ano EF",255
"Baixo Guandu","7º Ano EF",255
"Sooretama","1º Ano EF",255
"Montanha","4º Ano EF",255
"Vila Valério","3º Ano EF",254
"Pinheiros","1º Ano EF",253
"Anchieta","1º Ano EF",253
"Brejetuba","3º Ano EF",249
"Alegre","1º Ano EF",249
"Montanha","3º Ano EF",249
"Marechal Floriano","5º Ano EF",249
"Presidente Kennedy","4º Ano EF",246
"Ecoporanga","3º Ano EF",246
"Ibatiba","1º Ano EF",245
"Vila Valério","1º Ano EF",245
"Alegre","4º Ano EF",244
"Baixo Guandu","8º Ano EF",244
"Rio Bananal","9º Ano EF",243
"Vila Valério","2º Ano EF",242
"Fundão","2º Ano EF",237
"Brejetuba","2º Ano EF",236
"Domingos Martins","4º Ano EF",234
"Alegre","5º Ano EF",233
"Pinheiros","9º Ano EF",231
"Presidente Kennedy","3º Ano EF",229
"Jaguaré","9º Ano EF",229
"Presidente Kennedy","6º Ano EF",229
"Ecoporanga","4º Ano EF",228
"Pancas","5º Ano EF",228
"Pancas","2º Ano EF",228
"Ecoporanga","1º Ano EF",227
"Pancas","1º Ano EF",225
"Baixo Guandu","9º Ano EF",224
"Guaçuí","9º Ano EF",223
"Presidente Kennedy","2º Ano EF",223
"Domingos Martins","7º Ano EF",222
"Marechal Floriano","3º Ano EF",219
"Presidente Kennedy","5º Ano EF",218
"Muniz Freire","4º Ano EF",218
"Santa Teresa","8º Ano EF",217
"Pancas","4º Ano EF",216
"Boa Esperança","2º Ano EF",216
"Muniz Freire","3º Ano EF",211
"São Gabriel da Palha","9º Ano EF",211
"Fundão","1º Ano EF",210
"Santa Teresa","4º Ano EF",210
"Montanha","1º Ano EF",209
"Santa Teresa","6º Ano EF",207
"Ecoporanga","5º Ano EF",207
"Afonso Cláudio","6º Ano EF",206
"Muniz Freire","5º Ano EF",204
"Boa Esperança","4º Ano EF",203
"Anchieta","7º Ano EF",203
"Muniz Freire","6º Ano EF",201
"Santa Teresa","7º Ano EF",201
"Piúma","9º Ano EF",201
"Boa Esperança","3º Ano EF",201
"Presidente Kennedy","1º Ano EF",199
"Muqui","5º Ano EF",199
"Afonso Cláudio","7º Ano EF",199
"Boa Esperança","5º Ano EF",199
"Domingos Martins","8º Ano EF",198
"Marechal Floriano","7º Ano EF",198
"Marechal Floriano","6º Ano EF",196
"Conceição do Castelo","5º Ano EF",195
"Mantenópolis","5º Ano EF",194
"Presidente Kennedy","8º Ano EF",189
"Jerônimo Monteiro","3º Ano EF",188
"Pancas","3º Ano EF",186
"Fundão","8º Ano EF",185
"Presidente Kennedy","7º Ano EF",184
"Muniz Freire","7º Ano EF",184
"Água Doce do Norte","3º Ano EF",183
"Ibitirama","3º Ano EF",182
"Ibitirama","2º Ano EF",181
"Irupi","2º Ano EF",181
"Marilândia","2º Ano EF",180
"São Gabriel da Palha","7º Ano EF",179
"Santa Teresa","9º Ano EF",175
"São Gabriel da Palha","8º Ano EF",175
"Irupi","1º Ano EF",175
"Itaguaçu","2º Ano EF",173
"Mantenópolis","2º Ano EF",173
"Ibitirama","4º Ano EF",172
"Mantenópolis","3º Ano EF",172
"Iconha","2º Ano EF",172
"Conceição do Castelo","3º Ano EF",172
"Itaguaçu","1º Ano EF",171
"Jerônimo Monteiro","2º Ano EF",171
"Governador Lindenberg","1º Ano EF",171
"Água Doce do Norte","4º Ano EF",171
"Marechal Floriano","8º Ano EF",170
"Presidente Kennedy","9º Ano EF",170
"Itaguaçu","3º Ano EF",169
"Vila Valério","8º Ano EF",169
"Muqui","4º Ano EF",169
"Conceição do Castelo","4º Ano EF",169
"Águia Branca","5º Ano EF",168
"Santa Leopoldina","5º Ano EF",167
"Anchieta","8º Ano EF",167
"Muqui","3º Ano EF",167
"Santa Maria de Jetibá","6º Ano EF",167
"Afonso Cláudio","9º Ano EF",166
"Jerônimo Monteiro","1º Ano EF",166
"Rio Novo do Sul","3º Ano EF",165
"Ibiraçu","4º Ano EF",165
"Santa Leopoldina","4º Ano EF",165
"João Neiva","9º Ano EF",164
"Jerônimo Monteiro","4º Ano EF",164
"João Neiva","2º Ano EF",164
"Alfredo Chaves","5º Ano EF",163
"Alfredo Chaves","1º Ano EF",163
"Afonso Cláudio","8º Ano EF",163
"Montanha","6º Ano EF",163
"Marilândia","1º Ano EF",163
"Governador Lindenberg","4º Ano EF",162
"Atílio Vivácqua","5º Ano EF",161
"Alfredo Chaves","2º Ano EF",161
"Atílio Vivácqua","2º Ano EF",159
"São José do Calçado","4º Ano EF",157
"Água Doce do Norte","2º Ano EF",156
"Governador Lindenberg","3º Ano EF",156
"Irupi","5º Ano EF",156
"São José do Calçado","5º Ano EF",156
"Mantenópolis","1º Ano EF",155
"Águia Branca","1º Ano EF",155
"Vila Valério","7º Ano EF",154
"Vila Valério","5º Ano EF",154
"Água Doce do Norte","5º Ano EF",154
"Vila Valério","4º Ano EF",152
"Governador Lindenberg","5º Ano EF",152
"Afonso Cláudio","1º Ano EF",152
"Águia Branca","2º Ano EF",152
"João Neiva","8º Ano EF",150
"Vila Valério","6º Ano EF",150
"Itaguaçu","5º Ano EF",149
"Mantenópolis","4º Ano EF",149
"São José do Calçado","7º Ano EF",149
"Santa Leopoldina","1º Ano EF",149
"Santa Leopoldina","3º Ano EF",149
"Santa Leopoldina","2º Ano EF",148
"Águia Branca","3º Ano EF",148
"Iconha","5º Ano EF",148
"Rio Novo do Sul","4º Ano EF",147
"Itaguaçu","4º Ano EF",147
"Marilândia","5º Ano EF",147
"Ibiraçu","1º Ano EF",146
"Muqui","2º Ano EF",146
"Jerônimo Monteiro","5º Ano EF",146
"João Neiva","1º Ano EF",146
"Conceição do Castelo","2º Ano EF",146
"Anchieta","9º Ano EF",145
"Mimoso do Sul","5º Ano EF",145
"Águia Branca","4º Ano EF",145
"Mimoso do Sul","1º Ano EF",145
"Muniz Freire","9º Ano EF",144
"Rio Novo do Sul","5º Ano EF",143
"Governador Lindenberg","2º Ano EF",143
"Rio Novo do Sul","1º Ano EF",142
"Ibitirama","5º Ano EF",142
"Marechal Floriano","9º Ano EF",142
"Vargem Alta","1º Ano EF",140
"Rio Novo do Sul","2º Ano EF",138
"Fundão","9º Ano EF",138
"São Domingos do Norte","5º Ano EF",138
"São Domingos do Norte","4º Ano EF",138
"Itarana","1º Ano EF",137
"Conceição do Castelo","1º Ano EF",137
"Ibiraçu","2º Ano EF",135
"Atílio Vivácqua","8º Ano EF",135
"Atílio Vivácqua","9º Ano EF",135
"Muniz Freire","8º Ano EF",135
"Ibiraçu","5º Ano EF",133
"Venda Nova do Imigrante","6º Ano EF",132
"Vila Pavão","4º Ano EF",132
"São Domingos do Norte","2º Ano EF",130
"Água Doce do Norte","1º Ano EF",130
"Muqui","1º Ano EF",130
"Iconha","1º Ano EF",129
"Itarana","4º Ano EF",128
"Laranja da Terra","2º Ano EF",128
"Vila Pavão","5º Ano EF",128
"Itarana","2º Ano EF",127
"Laranja da Terra","4º Ano EF",127
"São José do Calçado","2º Ano EF",127
"São José do Calçado","8º Ano EF",126
"Vila Pavão","1º Ano EF",125
"Itarana","5º Ano EF",124
"Vila Pavão","2º Ano EF",124
"João Neiva","5º Ano EF",124
"São Roque do Canaã","8º Ano EF",124
"São Domingos do Norte","1º Ano EF",123
"Ibiraçu","3º Ano EF",123
"Alto Rio Novo","5º Ano EF",123
"Alto Rio Novo","3º Ano EF",120
"Laranja da Terra","5º Ano EF",119
"São Roque do Canaã","9º Ano EF",119
"São Domingos do Norte","3º Ano EF",119
"Vila Valério","9º Ano EF",119
"São Roque do Canaã","6º Ano EF",119
"São José do Calçado","1º Ano EF",118
"Alto Rio Novo","2º Ano EF",118
"Dores do Rio Preto","2º Ano EF",118
"Dores do Rio Preto","5º Ano EF",118
"Alto Rio Novo","1º Ano EF",117
"Boa Esperança","1º Ano EF",117
"Montanha","7º Ano EF",117
"São José do Calçado","9º Ano EF",116
"Venda Nova do Imigrante","7º Ano EF",115
"São Roque do Canaã","5º Ano EF",114
"São José do Calçado","6º Ano EF",114
"Alto Rio Novo","4º Ano EF",114
"Alfredo Chaves","9º Ano EF",113
"Dores do Rio Preto","1º Ano EF",113
"Dores do Rio Preto","4º Ano EF",113
"Vila Pavão","9º Ano EF",113
"Dores do Rio Preto","3º Ano EF",112
"São Roque do Canaã","2º Ano EF",111
"São José do Calçado","3º Ano EF",110
"Alfredo Chaves","8º Ano EF",110
"Vila Pavão","6º Ano EF",110
"Santa Maria de Jetibá","7º Ano EF",110
"Venda Nova do Imigrante","9º Ano EF",109
"Itarana","3º Ano EF",109
"Vila Pavão","3º Ano EF",108
"Vila Pavão","7º Ano EF",108
"São Roque do Canaã","1º Ano EF",107
"São Roque do Canaã","4º Ano EF",106
"Laranja da Terra","3º Ano EF",105
"São Roque do Canaã","3º Ano EF",102
"São Domingos do Norte","6º Ano EF",102
"Venda Nova do Imigrante","8º Ano EF",100
"Bom Jesus do Norte","3º Ano EF",99
"Bom Jesus do Norte","5º Ano EF",98
"São Roque do Canaã","7º Ano EF",98
"Ponto Belo","2º Ano EF",97
"Mucurici","4º Ano EF",97
"Bom Jesus do Norte","2º Ano EF",94
"Vila Pavão","8º Ano EF",94
"Mucurici","2º Ano EF",94
"Laranja da Terra","6º Ano EF",94
"Bom Jesus do Norte","4º Ano EF",92
"Santa Maria de Jetibá","8º Ano EF",91
"São Domingos do Norte","8º Ano EF",90
"Santa Maria de Jetibá","9º Ano EF",89
"Atílio Vivácqua","1º Ano EF",89
"Apiacá","2º Ano EF",88
"Ponto Belo","3º Ano EF",88
"São Domingos do Norte","7º Ano EF",87
"Apiacá","8º Ano EF",86
"Montanha","8º Ano EF",85
"Mucurici","5º Ano EF",85
"Ponto Belo","5º Ano EF",85
"Ponto Belo","4º Ano EF",84
"Boa Esperança","6º Ano EF",84
"Águia Branca","7º Ano EF",83
"Apiacá","4º Ano EF",83
"Mucurici","3º Ano EF",82
"Vargem Alta","8º Ano EF",82
"Mucurici","1º Ano EF",81
"Apiacá","7º Ano EF",81
"Apiacá","6º Ano EF",80
"Boa Esperança","8º Ano EF",80
"Apiacá","3º Ano EF",78
"Ibitirama","1º Ano EF",78
"Apiacá","5º Ano EF",78
"Brejetuba","1º Ano EF",75
"Apiacá","1º Ano EF",73
"Divino de São Lourenço","1º Ano EF",73
"Marechal Floriano","1º Ano EF",71
"Mucurici","6º Ano EF",70
"Águia Branca","8º Ano EF",70
"Águia Branca","6º Ano EF",69
"São Domingos do Norte","9º Ano EF",69
"Divino de São Lourenço","4º Ano EF",69
"Vargem Alta","9º Ano EF",68
"Montanha","9º Ano EF",67
"Boa Esperança","7º Ano EF",66
"Mucurici","7º Ano EF",64
"Divino de São Lourenço","5º Ano EF",64
"Muqui","7º Ano EF",61
"Muqui","6º Ano EF",61
"Divino de São Lourenço","2º Ano EF",58
"Laranja da Terra","8º Ano EF",57
"Divino de São Lourenço","3º Ano EF",56
"Laranja da Terra","1º Ano EF",55
"Águia Branca","9º Ano EF",55
"Boa Esperança","9º Ano EF",54
"Mimoso do Sul","8º Ano EF",53
"Ponto Belo","1º Ano EF",53
"Santa Leopoldina","6º Ano EF",50
"Mimoso do Sul","9º Ano EF",49
"Santa Leopoldina","8º Ano EF",47
"Santa Leopoldina","7º Ano EF",46
"Iúna","6º Ano EF",46
"Iconha","8º Ano EF",46
"Iúna","7º Ano EF",46
"Laranja da Terra","7º Ano EF",45
"Muqui","8º Ano EF",45
"Irupi","9º Ano EF",43
"Santa Leopoldina","9º Ano EF",43
"Atílio Vivácqua","3º Ano EF",39
"Apiacá","9º Ano EF",39
"Atílio Vivácqua","4º Ano EF",38
"Iconha","9º Ano EF",37
"Laranja da Terra","9º Ano EF",35
"Marilândia","9º Ano EF",35
"Iúna","8º Ano EF",34
"Marilândia","8º Ano EF",33
"Brejetuba","6º Ano EF",30
"Brejetuba","7º Ano EF",29
"Muqui","9º Ano EF",28
"Iúna","9º Ano EF",27
"Brejetuba","8º Ano EF",27
"Brejetuba","9º Ano EF",23
"Ponto Belo","6º Ano EF",21
"Ibatiba","9º Ano EF",21
"Ponto Belo","8º Ano EF",20
"Ponto Belo","7º Ano EF",19
"Irupi","8º Ano EF",19
"Brejetuba","4º Ano EF",18
"Ponto Belo","9º Ano EF",17
"Mucurici","8º Ano EF",17
"Mucurici","9º Ano EF",16
"Brejetuba","5º Ano EF",16
"Ibatiba","6º Ano EF",12
"Ibatiba","7º Ano EF",11
"Ibatiba","8º Ano EF",10
